ID,Name,Siret,Address,Zip Code,Type ID,Data Pass ID,Is Active,City,City Insee Code,Department Insee Code,Is Experiment,France Services Label,France Services Number,UUID
4714,France services de LA VALLEE DES ANGES,21570508800015,5 RUE VICTOR HUGO,57240,1,57211154,true,NILVANGE,57508,57,false,true,2438,ecb679b0-ab87-4e87-a99c-6757a49431f8
3535,France services Albestroff,21570011300016,"3, rue du château",57670,360,23314,true,Albestroff,57494,57,false,true,,50081627-395e-4a1f-bec8-eb84e660d6a6
1014,CENTRE SOCIAL LA GARDE,30995354500014,BP 34,13381,,6602,true,,57490,57,false,false,,12cbc3a5-cb02-4d13-9c63-6fe038dfe0af
537,FAMILLES RURALES CREPY,38057638900015,43 RUE MALEZIEUX BRIQUET,2870,,5219,true,,57490,57,false,false,,1088db66-5dc0-4ee9-9b09-6f511a97206e
988,Dispositif de réinstallation,77568030900611,1 rue Boris Vian Appt 86,2320,,4857,true,,57490,57,false,false,,e480cd76-29c2-4987-85a9-ce1a84461bd2
970,AMESUD,34772748900036,1 RUE DE LA GARE,7260,,6206,true,,57490,57,false,false,,afd927f5-8b32-412c-a87f-da96187acbec
1015,CCAS DE GEMENOS,26130103000019,CS 81016,13788,,6650,true,,57490,57,false,false,,2fe44482-a329-4c4e-bd5b-e3063f42a745
931,France Services Banon,35600000057086,5261 PL DE LA REPUBLIQUE,4150,,6596,true,,57490,57,false,true,,65ce7e59-a91d-42b6-999c-da00889ff445
847,BUREAU DE POSTE - FRANCE SERVICES CONDAT,35600000057635,5566 LE BOURG,5566,,6287,true,,57490,57,false,true,,93c3a10b-c708-4734-bcb7-6ad60bb7d76d
2212,CCAS d'Argelès-sur-Mer,26660015400014,Allée Ferdinand Buisson	66704	 Argelès-sur-Mer,66704,2,4299,true,Argelès-sur-Mer,57490,57,false,false,,c9b0d130-bc92-4ffe-bb3d-7bd27251cf05
441,France Services Haut Bugey Plateau d'Hauteville,20004293500011,15 rue nationale,1110,,4457,true,,57490,57,false,true,,a1b41634-c7b7-4f2d-b875-042207080187
2185,Communauté d'Agglomération de Bastia,24200035400041,PORT DE TOGA - CS 60097,20291,183,9528,true,,57490,57,false,false,,9ed49433-7564-4f61-917b-79e28cff2295
