Name,ID,UUID,Is Active,City Insee Code,Address,Zip Code,Siret,France Services Label,City,Nombre d'aidants,Question 110 → Nombre D'usagers Uniques,Question 109 → Nombre De Demarche Par Structure,Question 99 → Nombre Demarche Argent,Question 107 → Nombre Demarche Etranger,Question 103 → Nombre Demarche Famille,Question 106 → Nombre Demarche Justice,Question 108 → Nombre Demarche Loisirs,Question 102 → Nombre Demarche Papier,Question 104 → Nombre Demarche Social,Question 105 → Nombre Demarche Transport,Question 113 → Nombre Demarche Travail,Question 114 → Nombre Demarche Logement
France Services Lannemezan,2830,377ef812-28c3-4317-901f-31192ac0c339,true,65258,1 PL DE LA REPUBLIQUE,65300,21650258300018.0,true,Lannemezan,3,1,,,,,,,,,,,
France Services Serignan,2832,0948c49b-9dc8-4fc9-998f-9508239c39ae,true,34298,146 AV DE LA PLAGE,34410,21340299300017.0,true,Sauvian,6,91,280,59,,7,,,1,25,177,5,6
Médiathèque André MALRAUX,2833,a7dd2788-cce1-4c8b-a1de-4314a7592d03,true,34032,Place du 14 juillet,34500,21340032800018.0,false,Beziers,1,,,,,,,,,,,,
MAIRIE DE TREMOUILLES,2834,3b9504bb-0bf3-445c-8e10-2f472b35236d,true,12297,8 RUE DE L'EGLISE DE ST AMANS,12290,21120283300011.0,false,Le Vibal,1,,,,,,,,,,,,
LA POSTE AUSSILLON,2835,98719a52-c556-44f2-8878-e6106d7a343c,true,81163,RUE JACQUES MAAST,81200,35600000044846.0,true,Mazamet,1,,,,,,,,,,,,
MAIRIE DE GINCLA,2836,e145d8c9-0f42-44bb-9155-3bfbf4f73b65,true,11230,rue de la mairie,11140,21110163900014.0,false,Merial,1,,,,,,,,,,,,
Mairie de Salvezines,2837,8280a58a-4cb1-4454-80b8-ad4082d2ea97,true,11230,13 rue de la carrière,11140,21110373400011.0,false,Merial,1,,,,,,,,,,,,
AVENIR Nouvelle Maison des Chômeurs,2838,ef43a894-4927-4a18-ba6f-afaa0bad98c0,true,31555,115 RUE BONNAT,31400,44012166300023.0,false,Toulouse,4,,,,,,,,,,,,
Maison Départementale de Proximité de Saint-Martory,2839,32a7de27-5aef-4de4-bfd3-14fbfafb3b55,true,31314,4 rue du Pont,31360,22310001700423.0,false,Mancioux,0,40,81,14,,4,,,3,22,3,35,
Maison Départementale de Proximité de Montréjeau,2840,a3b898fd-0b3a-403d-825b-ff6935279bf0,true,31390,Hôtel de Lassus - 6 rue du Barry -,31210,22310001700423.0,false,Montrejeau,0,42,141,23,1,13,,,9,31,2,59,3
CCAS de la Ville de Gravelines,2841,17c92bd4-00ba-4a9e-8115-38360802988d,true,59273,RUE DES CLARISSES,59820,26590273400010.0,false,Gravelines,10,,,,,,,,,,,,
COMMUNAUTE DE COMMUNES DES LISIERES DE L'OISE,2842,1db80c28-99da-4ea8-ba10-01374c2ad903,true,60025,4 RUE DES SURCENS,60350,24600074900076.0,false,Attichy,3,6,5,,,,,,1,1,,3,
GIP ARNIA,2843,9e866ac3-e84c-4bc2-93ce-b1e16af5fd0c,true,21231,3 B RUE DE SUZON,21000,13000493000025.0,false,Dijon,6,1,1,,,,,1,,,,,
centre socioculturel Audrey Bartier,2844,bc1179c1-0fea-43bf-b424-263102beae19,true,62893,42 RUE DU BASTON,62930,42036787200017.0,false,Wimereux,2,,,,,,,,,,,,
Maison France Services de Brantome en Perigord,2845,3c76d6df-270f-42ab-8858-5e76e5de2561,true,24064,1 place du Champs de foire,24310,20008412700014.0,true,Brantome En Perigord,2,12,17,,,,,,,,15,1,1
Club Micro Saint Pierre,2846,e7726217-f44a-466b-aa65-0eb0cd77d5d5,true,40281,40 IMP GEORGES SABDE,40280,82964211500028.0,false,St Pierre Du Mont,2,8,12,,,,,,4,,6,1,1
AFAC24,2847,d57bdca8-aebd-4493-b79e-ef0526a50b3e,true,24138,RUE JEAN BOUIN,24660,41983375100011.0,false,Coulounieix Chamiers,3,,,,,,,,,,,,
secrétaraiat de mairie de saint-boes,2848,f541e91f-7aef-4f07-95ee-2d7f71e78124,true,64471,209 RTE DE BAIGTS,64300,21640471500015.0,false,Saint-Boes,1,,,,,,,,,,,,
Maison des Services Coeur Haute Lande,2849,32c53b36-7102-48d9-82d2-ce4db73009f9,true,40246,24 PL GAMBETTA,40630,20006965600011.0,false,Sabres,4,17,228,,,,,,8,3,23,185,9
