ID;Name;Is Active;City Insee Code;Address;Zip Code;Siret;France Services Label;Nombre d'aidants;Nombre D'usagers Uniques;Nombre De Demarche Par Structure;Nombre Demarche Argent;Nombre Demarche Etranger;Nombre Demarche Famille;Nombre Demarche Justice;Nombre Demarche Loisirs;Nombre Demarche Papier;Nombre Demarche Social;Nombre Demarche Transport;Nombre Demarche Travail;Nombre Demarche Logement
766;Sainte Alvere La Poste;TRUE;24067;1226 RUE DE LA BOETIE;24260;35 600 000 001 901;FALSE;2;;;;;;;;;;;;
767;COMMUNE AINHICE-MONGELOS;TRUE;64484;128 CHEMIN DE L'EGLISE;64220;21 640 013 500 010;FALSE;2;;;;;;;;;;;;
768;Mairie de BREUIL LA REORTE;TRUE;17434;93 rue de la République LA CRIGNOLEE;17700;21 170 063 800 011;FALSE;1;;;;;;;;;;;;
769;Emmaüs Ruffec - EFS EMMABUS;TRUE;16104;22 RUE GAMBETTA;16700;40 109 226 700 020;FALSE;6;;;;;;;;;;;;
770;france services saint germain les belles;TRUE;87146;2 AV DU REMBLAI;87380;35 600 000 043 464;TRUE;2;1;3;;;;;;;3;;;
771;Perspectives et Emploi Cap Emploi 23;TRUE;23096;13 AV CHARLES DE GAULLE;23000;38 477 927 800 033;FALSE;11;;;;;;;;;;;;
772;Creuse Habitat;TRUE;23096;12 AV PIERRE LEROUX;23000;13 002 616 400 017;FALSE;9;;;;;;;;;;;;
773;Mairie de Mtsamboro;TRUE;97612;PL DE LA MAIRIE;97630;120 000 884 500 014;FALSE;10;;;;;;;;;;;;
774;Mission Locale de Mayotte;TRUE;97611;RUE DU STADE CAVANI;97600;52 489 427 600 012;FALSE;11;;;;;;;;;;;;
775;Maison France Services Combani;TRUE;97617;14 route de Coconi;97680;1;TRUE;5;;;;;;;;;;;;
776;Maison France Services de Petite Terre;TRUE;97608;4, rue Hôtel de Ville;97615;20 005 053 200 015;TRUE;3;;;;;;;;;;;;
777;CCAS de La Possession;TRUE;97408;BP 92 rue Waldeck Rochet;97419;269 740 080;FALSE;16;4;16;;;;;;2;14;;;
778;WENKA CULTURE;TRUE;97611;2 RUE DE LAZEREVOUNI;97600;81 409 613 700 033;FALSE;9;4;157;33;27;27;25;25;37;36;29;29;29
779;France Services - Pleine-Fougères (La Poste);TRUE;35222;23 rue de Normandie;35610;35 600 000 007 315;TRUE;1;42;1 537;48;;23;4;;50;99;161;1 192;31
780;"AMSAM-Centre d'Hébergement d'Urgence ""Anne Morgan""";TRUE;02722;31 Rue Anne Morgan;02200;77 554 727 600 193;FALSE;1;2;18;4;;2;4;;6;5;2;2;4
781;France Services Le Chambon Sur Lignon;TRUE;43051;16 RUE DE LA POSTE;43400;35 600 000 017 846;TRUE;2;;;;;;;;;;;;
782;Centre d’Hébergement et de Réinsertion Sociale Bernard Patier;TRUE;19031;11 rue Gabriel Malès;19100;26 190 312 400 202;FALSE;5;;;;;;;;;;;;
783;Communauté de Communes du Pays Tarusate / Service emploi-logement;TRUE;40313;143 Rue Jules Ferry 40400 Tartas;40400;24 400 076 600 018;FALSE;2;21;147;59;;30;;;15;70;3;27;19
